porte,media_cenario,frequencia,valor_pessimista,media,valor_otimo,valor_otimista,solution_0,solution_1,solution_2,solution_3,solution_4,solution_5,solution_6,solution_7,solution_8,solution_9,solution_10,solution_11,solution_12,solution_13,solution_14,solution_15,solution_16,solution_17,solution_18,solution_19,solution_20,solution_21,solution_22,solution_23,solution_24,solution_25,solution_26,solution_27,solution_28,solution_29,solution_30,solution_31,solution_32,solution_33,solution_34,solution_35,solution_36,solution_37,solution_38,solution_39,solution_40,solution_41,solution_42,solution_43,solution_44,solution_45,solution_46,solution_47,solution_48,solution_49,solution_50,solution_51,solution_52,solution_53,solution_54,solution_55,solution_56,solution_57,solution_58,solution_59,solution_60,solution_61,solution_62,solution_63,solution_64,solution_65,solution_66,solution_67,solution_68,solution_69,solution_70,solution_71,solution_72,solution_73,solution_74,solution_75,solution_76,solution_77,solution_78,solution_79,solution_80,solution_81,solution_82,solution_83,solution_84,solution_85,solution_86,solution_87,solution_88,solution_89,solution_90,solution_91,solution_92,solution_93,solution_94,solution_95,solution_96,solution_97,solution_98,solution_99
0,863.286179775281,351,984.0,1100.0,1168.5,1230.0,1229.976596802434,1227.543017229195,1227.543017229195,1229.9951610827127,1229.991850335111,1229.9863507554112,1229.9775157877093,1229.9898253090814,1229.9957390809873,1229.715346658704,1229.9853131865918,1229.9875152620864,1229.717142887449,1229.9884251907151,1229.9957321332363,1229.9605819183942,1229.9888745062776,1229.9862516181026,1229.8987903216685,1229.9963109526482,1229.9983145444278,1229.930587864523,1229.9884651595985,1229.985998899395,1229.9773900257603,1229.9894112098293,1229.9863507554112,1229.9948268110825,1229.9863507554112,1229.9872870254978,1229.9982661156912,1229.987772052818,1229.9840351276318,1229.9600898149504,1229.98282666676,1229.983799706192,1229.9918327154073,1229.9774811045856,1229.9766223060133,1229.977357226571,1229.9861187967692,1229.9084104505325,1229.9759276743123,1229.993529183534,1229.90913665865,1229.9767869676477,1229.9810770086792,1229.9884651595985,1229.999136300121,1229.9839585029636,1229.9920837328248,1229.9086226830711,1229.9983072995499,1229.9878913062487,1229.715346658704,1229.983799706192,1229.9906263823873,1229.981680001085,1229.9813697372217,1229.98282666676,1229.9978042603593,1229.976681527412,1229.9020377579538,1229.9982530343552,1229.9766223060133,1229.976596802434,1229.9853131865918,1229.9863507554112,1229.9813697372217,1229.9924467586623,1229.9894732898938,1229.976596802434,1229.991510972818,1229.976596802434,1229.988310399195,1229.9603500514415,1229.9888745062776,1229.9812760764858,1229.8887686307155,1229.9982661156912,1229.9901459826012,1229.987772052818,1229.715346658704,1229.9853131865918,1229.9888745062776,1229.9773900257603,1229.9763619115809,1229.9812322223213,1229.9902574309929,1229.976681527412,1229.9812760764858,1229.9872023576436,1229.9956621775173,1229.999998423359,1229.9955127043024,1229.9610928328702,1229.9872023576436,1229.9982661156912,1229.9275349663887,1229.9292979120037
1,1736.08175675676,171,1920.0,2110.0,2232.5,2350.0,2349.9977871675646,2348.4259605142606,2349.98180972904,2349.985127025266,2349.99602309234,2349.904269080322,2349.9867184367804,2349.9976219131977,2349.972108535398,2349.9974554016503,2349.998317538028,2349.980631736083,2349.9892458384397,2349.921484852919,2349.973927841593,2349.98491950344,2349.016754849761,2349.990775950373,2349.990587582116,2349.9059373747364,2349.997276855325,2349.9817751725914,2349.9107362808054,2349.995246702242,2349.994526754609,2349.9911425091013,2349.9796432295684,2349.9998031190207,2349.9796432295684,2349.984710174781,2349.9990265264437,2349.9979990496695,2349.9989018859583,2349.994526754609,2349.9992204063064,2349.984985729837,2349.9746067109663,2349.986577505084,2349.8927108719,2349.997858769637,2349.904269080322,2349.9354197278694,2349.9932866605745,2349.9957878672017,2349.9995970254695,2349.9995970254695,2349.9956456582186,2349.9979447120536,2349.9870773214366,2349.984985729837,2349.994683139226,2349.8927280511793,2349.9965523286496,2349.9981717966234,2349.9974554016503,2349.984985729837,2349.951474772575,2349.984876170338,2349.9992775831815,2349.9987845271025,2349.986577505084,2325.6452505437524,2348.4259605142606,2349.985127025266,2349.9996034006026,2349.9962440354943,2349.9999772415545,2349.9796432295684,2349.979838730271,2349.996616896235,2349.995430237259,2349.9977871675646,2349.984876170338,2349.9849738094526,2349.997276855325,2349.9840819549463,2349.016754849761,2349.996426274427,2348.952742358012,2349.917547415974,2344.8971486041487,2349.9979990496695,2349.9974554016503,2349.998952761822,2349.016754849761,2349.997470874067,2349.997320021845,2349.980245407435,2349.984876170338,2349.9869220328856,2349.996426274427,2349.9971028496243,2349.994526754609,2349.9884863976326,2349.865379249282,2349.9840819549463,2349.979851662585,2349.9990265264437,2349.9797239222216,2349.99999074064
2,2264.83089506173,670,2380.0,2490.0,2490.0,2600.0,2599.990230398339,2599.876840813093,2599.876840813093,2599.9781329504704,2597.8240091233592,2599.9981696759974,2599.9970513078615,2599.9992991600466,2599.998647616626,2599.9988128273794,2599.997030565742,2599.9999733019627,2599.998642023063,2599.996394571099,2599.965787621579,2599.9980746562223,2599.9587434502296,2599.994908771147,2599.998327408245,2599.9771813906646,2599.998762078299,2599.998129601557,2599.9997504603857,2599.990612694646,2599.998978670283,2599.996214947371,2599.9981696759974,2599.976501636028,2599.874691690883,2599.999510950366,2599.9953671197777,2599.998303661964,2599.9985147032867,2599.9997135044046,2599.9998857487244,2599.9998892493013,2599.996762186673,2599.9700965058146,2599.9995399781988,2599.9995151150183,2599.977068318121,2599.9846630148572,2599.9981030566823,2599.991513387703,2599.997262675008,2599.997262675008,2599.9887977549133,2599.9997504603857,2599.9832493605804,2599.976501636028,2599.9994997990966,2599.9020653339576,2599.99488369594,2599.9952918063464,2599.9988128273794,2599.976501636028,2599.9968492543576,2599.990375005775,2599.9989347669493,2599.999731833006,2599.9700965058146,2599.9970153604386,2596.779293181567,2599.9781329504704,2598.745659665676,2599.9997301718486,2599.997030565742,2599.9981696759974,2599.9989347669493,2599.9700965058146,2599.9992953109413,2599.990230398339,2599.9999966523615,2599.990240572312,2599.9991681970064,2599.9972573908076,2599.9587434502296,2599.997618075605,2599.990577959186,2599.9953671197777,2599.999300538335,2599.998303661964,2599.9988128273794,2599.9949441217923,2599.976074243642,2599.998983164031,2599.997063573432,2599.998798995193,2599.999847407644,2599.9995824061375,2599.9902924396115,2599.9956453660884,2599.9994453684576,2599.9832868763256,2599.999186617553,2599.997200700521,2599.996971746924,2599.9953671197777,2599.9995170450698,2599.999822085701
3,2675.3738721351,1743,2680.0,2750.0,2750.0,2830.0,2821.010010335812,2829.993621546574,2829.993621546574,2829.9928560742196,2829.9531020722998,2829.981847294446,2827.4233605494237,2829.945228404243,2829.9383611080584,2829.870014411374,2829.999724538731,2829.951447481036,2829.9372648343087,2829.931336800392,2829.9383611080584,2829.9654625614753,2829.9968357105504,2829.9975888675312,2829.9995458608446,2829.999708865594,2829.9588670831345,2829.973914436861,2829.9851613017586,2829.9840776959095,2829.95295087517,2829.964356559623,2829.9818394806994,2829.970264368108,2829.9949903986526,2829.9992213753353,2829.9284575044558,2829.888149700206,2829.927725286411,2829.9842595027876,2829.932088548399,2829.970264368108,2829.997470579304,2829.971406705085,2829.974640940249,2829.8052350142816,2829.9701348385115,2829.968737627882,2829.9720541056367,2829.9936169059474,2829.99368933084,2829.99368933084,2829.9373260130733,2829.9864612403258,2829.9989165058473,2829.970264368108,2829.9796467130373,2829.9697802706396,2829.9873677523374,2829.9383611080584,2829.870014411374,2829.970264368108,2829.9739558087117,2829.9399588012843,2827.637876133071,2829.932088548399,2829.9716312729192,2829.908539996503,2829.9937699885454,2829.996389803031,2829.9558828945887,2826.240905834586,2829.999724538731,2829.9818394806994,2827.4441902631556,2829.958719469829,2829.8869869085006,2829.956485186714,2829.9204092890923,2820.8553218091624,2829.9588670831345,2829.9654625614753,2829.9968357105504,2829.9944428289514,2829.9044231900175,2829.9284575044558,2827.9106417306107,2829.888149700206,2829.870014411374,2829.971084094236,2829.9968357105504,2829.95295087517,2829.999864789471,2829.9880341705766,2829.9399588012843,2827.4233605494237,2829.9944428289514,2829.8681125520425,2829.9523265530715,2829.868989871505,2827.9106417306107,2829.9538665566024,2829.9880341705766,2829.9284575044558,2829.9881100076104,2829.870014411374
4,4328.93481182796,1556,4280.0,4360.0,4360.0,4440.0,4280.022312561243,4439.022153956694,4439.022153956694,4286.585303835713,4439.034886025956,4296.753021755527,4438.360226585364,4439.035043626384,4439.160454020036,4370.326240310112,4431.281498479516,4437.385045876774,4439.214189276482,4352.6337143404135,4439.044652863909,4336.021145588092,4434.942447450094,4334.768346303095,4359.501529822658,4303.21048910058,4392.090186574338,4439.384906045209,4435.252331834382,4401.178265728689,4439.044147389782,4374.320715179806,4312.847095354797,4432.8566323578925,4333.8371064463245,4327.903172869031,4417.164946220856,4426.630543320171,4435.776222437698,4312.186969748981,4431.540332141145,4439.575054434236,4328.015834215156,4390.054341334578,4298.126403552883,4423.78891877652,4296.753021755527,4432.215033153312,4439.514541484764,4434.362797567386,4435.705327368463,4435.705327368463,4401.221272880745,4435.252331834382,4432.238836816721,4357.866120194673,4438.890412900295,4296.08743828474,4435.171688097725,4430.776939628128,4365.283083682695,4439.575054434236,4287.1399649242,4286.369802149832,4433.168313565723,4427.981229407392,4383.762346527602,4383.989720928224,4439.022153956694,4434.6970737947895,4298.126403552883,4280.022312561243,4437.849356513538,4298.126403552883,4433.168313565723,4388.020272929034,4281.014864537203,4433.191224360493,4433.16663690224,4281.956339148947,4392.090186574338,4334.1731249298555,4434.944963486883,4426.57393683328,4362.227330669473,4439.879859227092,4281.014864537203,4439.04128187151,4338.425559450544,4437.849356513538,4423.9447776426405,4425.931827606985,4431.799310433979,4360.431844852278,4310.362516045943,4383.810097388232,4436.449437325927,4363.591288359412,4439.355148469547,4353.477848820327,4286.544180900325,4334.1731249298555,4365.236326263213,4411.268380751041,4431.281584795557,4365.283083682695
6,5267.51394295302,1296,5410.0,5530.0,5530.0,5650.0,5410.211974901368,5591.796565313689,5413.758299267904,5414.202247329615,5426.192784639629,5412.964270346908,5550.722549202154,5537.722223143535,5531.884429021561,5422.313790208711,5589.274306745119,5516.949597001618,5521.487393253516,5414.661588888484,5585.998807646143,5491.488480700265,5502.405506759115,5410.688176912949,5412.35896411897,5431.1359165803615,5410.9569244867425,5573.3575131118005,5572.635389005625,5420.088867009369,5444.873187370281,5427.445256074816,5412.964270346908,5534.82147276428,5416.131786120181,5431.1359165803615,5411.011062804033,5455.126452950304,5441.402989228799,5417.5128192996535,5469.83217097534,5473.416189839687,5414.608561680785,5424.589155819826,5419.7842122423535,5410.211974901368,5418.474079082378,5485.709663102309,5558.267311985053,5581.683596737378,5471.497137830946,5467.904774617068,5424.145364378923,5570.184048143012,5478.584054491597,5491.056116226128,5450.755355107056,5426.220571760485,5566.3495683284955,5533.842502110307,5422.313790208711,5491.056116226128,5438.386264103355,5410.639708346248,5561.966072754214,5469.83217097534,5424.589155819826,5412.830448058572,5589.598957559474,5414.202247329615,5441.892334044375,5410.211974901368,5543.4716258457065,5412.964270346908,5561.966072754214,5424.589155819826,5412.7664118206685,5410.211974901368,5487.746607952305,5410.211974901368,5416.889579319213,5419.633753225811,5512.314650305669,5504.416686003308,5412.35896411897,5411.011062804033,5410.1749467047,5455.126452950304,5422.313790208711,5543.4716258457065,5410.666549061982,5444.873187370281,5441.657958278573,5418.412980064586,5431.755185489248,5412.830448058572,5503.336241831534,5418.561595124928,5447.990969592872,5410.331588754016,5414.269156222599,5419.101031630057,5418.412980064586,5432.012679391015,5495.253724916935,5422.129663498943
7,9666.32354330709,273,9250.0,9840.0,9880.0,10400.0,10399.960130587699,10398.744821917,10399.999197569543,10399.99903564806,10399.999812308228,10399.983290353206,10399.991351676616,10399.999798076456,10399.999924065707,10399.996258962306,10399.997169681375,10399.941868843684,10399.999977067642,10399.996287742324,10399.999554857794,10399.995569670791,10399.982384833884,10399.998732988159,10399.97756459636,10399.999849219355,10399.995897731396,10399.998808955635,10399.98285059718,10399.94025797209,10399.994432671387,10399.99637127002,10399.998703486312,10399.998801425696,10399.987981174316,10399.997724770768,10399.997686768045,10399.992246500175,10399.996902971756,10399.994451117778,10399.999756809297,10399.992247154547,10399.906486736267,10399.999872457834,10399.999561880319,10399.960130587699,10399.983457948112,10399.997424202043,10399.993825107073,10399.988151586174,10399.987663198592,10399.99850244546,10399.992112450338,10399.98285059718,10399.99735756295,10399.85116183322,10399.995724311026,10399.987943332553,10399.98285059718,10399.994502324635,10399.996258962306,10399.991530346773,10399.999678787086,10399.907843834917,10399.997432235541,10399.943075473691,10399.999872457834,10399.999855754648,10398.744821917,10399.99903564806,10399.998705218886,10399.960130587699,10399.994552277358,10399.998703486312,10399.997432235541,10399.999872457834,10399.999930927903,10399.960130587699,10399.992319774721,10399.90524486621,10399.995897731396,10399.995569670791,10399.998568732492,10399.992320476813,10399.960347621078,10399.997686768045,10399.994469295201,10399.992246500175,10399.996258962306,10399.994552277358,10399.982384833884,10399.996286961858,10399.999756809297,10399.998371627955,10399.992319774721,10399.997732505284,10399.992321333775,10399.997795587775,10399.994454308908,10399.85507062994,10399.994469295201,10399.99546971871,10399.991473005772,10399.997686768045,10399.99954034051,10399.996258962306
